Graph,Vertices,Edges,Solver,Time elapsed,Memory usage,Success,Colors
rgg_n_2_15_s0.graph.fast,32768,342568,SequentialSolver,16.73,8.13,1,15
rgg_n_2_15_s0.graph.fast,32768,342568,LubySolver (1 threads),192.62,10.87,1,14
rgg_n_2_15_s0.graph.fast,32768,342568,LubySolver (2 threads),156.31,8.13,1,14
rgg_n_2_15_s0.graph.fast,32768,342568,LubySolver (4 threads),139.80,16.26,1,15
rgg_n_2_15_s0.graph.fast,32768,342568,JonesSolver (1 threads),19.68,0.00,1,15
rgg_n_2_15_s0.graph.fast,32768,342568,JonesSolver (2 threads),15.69,0.00,1,15
rgg_n_2_15_s0.graph.fast,32768,342568,JonesSolver (4 threads),15.88,8.00,1,15
rgg_n_2_15_s0.graph.fast,32768,342568,SDLSolver (1 threads),17.81,0.06,1,15
rgg_n_2_15_s0.graph.fast,32768,342568,SDLSolver (2 threads),8.81,0.00,1,15
rgg_n_2_15_s0.graph.fast,32768,342568,SDLSolver (4 threads),7.61,8.00,1,15
rgg_n_2_15_s0.graph.fast,32768,342568,LDFSolver (1 threads),17.30,0.06,1,14
rgg_n_2_15_s0.graph.fast,32768,342568,LDFSolver (2 threads),8.72,0.00,1,14
rgg_n_2_15_s0.graph.fast,32768,342568,LDFSolver (4 threads),7.30,8.00,1,14
rgg_n_2_15_s0.graph.fast,32768,342568,FVFSolver (1 threads),13.99,0.00,1,14
rgg_n_2_15_s0.graph.fast,32768,342568,FVFSolver (2 threads),7.21,0.00,1,14
rgg_n_2_15_s0.graph.fast,32768,342568,FVFSolver (4 threads),9.90,8.00,1,14
rgg_n_2_15_s0.graph.fast,32768,342568,RandomSelectionSolver (1 threads),17.88,0.00,1,15
rgg_n_2_15_s0.graph.fast,32768,342568,RandomSelectionSolver (2 threads),8.14,0.00,1,15
rgg_n_2_15_s0.graph.fast,32768,342568,RandomSelectionSolver (4 threads),6.81,8.00,1,14
rgg_n_2_16_s0.graph.fast,65536,706102,SequentialSolver,43.37,8.13,1,17
rgg_n_2_16_s0.graph.fast,65536,706102,LubySolver (1 threads),392.47,11.50,1,17
rgg_n_2_16_s0.graph.fast,65536,706102,LubySolver (2 threads),325.91,8.13,1,17
rgg_n_2_16_s0.graph.fast,65536,706102,LubySolver (4 threads),309.62,16.26,1,18
rgg_n_2_16_s0.graph.fast,65536,706102,JonesSolver (1 threads),42.36,0.00,1,17
rgg_n_2_16_s0.graph.fast,65536,706102,JonesSolver (2 threads),35.27,0.00,1,17
rgg_n_2_16_s0.graph.fast,65536,706102,JonesSolver (4 threads),32.66,8.00,1,17
rgg_n_2_16_s0.graph.fast,65536,706102,SDLSolver (1 threads),38.57,0.25,1,16
rgg_n_2_16_s0.graph.fast,65536,706102,SDLSolver (2 threads),23.17,0.06,1,16
rgg_n_2_16_s0.graph.fast,65536,706102,SDLSolver (4 threads),16.93,8.00,1,17
rgg_n_2_16_s0.graph.fast,65536,706102,LDFSolver (1 threads),41.51,0.25,1,15
rgg_n_2_16_s0.graph.fast,65536,706102,LDFSolver (2 threads),23.40,0.06,1,15
rgg_n_2_16_s0.graph.fast,65536,706102,LDFSolver (4 threads),16.86,8.00,1,15
rgg_n_2_16_s0.graph.fast,65536,706102,FVFSolver (1 threads),30.71,0.00,1,16
rgg_n_2_16_s0.graph.fast,65536,706102,FVFSolver (2 threads),17.48,0.00,1,16
rgg_n_2_16_s0.graph.fast,65536,706102,FVFSolver (4 threads),13.50,8.00,1,16
rgg_n_2_16_s0.graph.fast,65536,706102,RandomSelectionSolver (1 threads),47.19,0.06,1,17
rgg_n_2_16_s0.graph.fast,65536,706102,RandomSelectionSolver (2 threads),20.72,0.00,1,18
rgg_n_2_16_s0.graph.fast,65536,706102,RandomSelectionSolver (4 threads),15.42,8.00,1,17
rgg_n_2_17_s0.graph.fast,131072,1479376,SequentialSolver,97.11,8.13,1,16
rgg_n_2_17_s0.graph.fast,131072,1479376,LubySolver (1 threads),919.43,12.27,1,17
rgg_n_2_17_s0.graph.fast,131072,1479376,LubySolver (2 threads),758.57,8.47,1,16
rgg_n_2_17_s0.graph.fast,131072,1479376,LubySolver (4 threads),723.25,16.26,1,16
rgg_n_2_17_s0.graph.fast,131072,1479376,JonesSolver (1 threads),91.87,0.00,1,16
rgg_n_2_17_s0.graph.fast,131072,1479376,JonesSolver (2 threads),70.97,0.00,1,16
rgg_n_2_17_s0.graph.fast,131072,1479376,JonesSolver (4 threads),65.33,8.00,1,16
rgg_n_2_17_s0.graph.fast,131072,1479376,SDLSolver (1 threads),88.93,0.62,1,17
rgg_n_2_17_s0.graph.fast,131072,1479376,SDLSolver (2 threads),47.19,0.25,1,17
rgg_n_2_17_s0.graph.fast,131072,1479376,SDLSolver (4 threads),37.27,8.12,1,17
rgg_n_2_17_s0.graph.fast,131072,1479376,LDFSolver (1 threads),94.07,0.56,1,16
rgg_n_2_17_s0.graph.fast,131072,1479376,LDFSolver (2 threads),54.03,0.19,1,16
rgg_n_2_17_s0.graph.fast,131072,1479376,LDFSolver (4 threads),36.86,8.00,1,16
rgg_n_2_17_s0.graph.fast,131072,1479376,FVFSolver (1 threads),65.99,0.00,1,17
rgg_n_2_17_s0.graph.fast,131072,1479376,FVFSolver (2 threads),36.43,0.00,1,17
